"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Gupta M.; Gantayat N.; Sindhgatta R.","Gupta, Monika (58510566300); Gantayat, Neelamadhav (51161373600); Sindhgatta, Renuka (8853417600)","58510566300; 51161373600; 8853417600","Intelligent math tutor: Problem-based approach to create cognizance","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","241","244","3","5","10.1145/3051457.3053995","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018448085&doi=10.1145%2f3051457.3053995&partnerID=40&md5=ccef561c72df5b78a8798f4f7be48701","Conference paper","Final","","Scopus","2-s2.0-85018448085"
"Li J.; Tan C.W.; Hang C.N.; Qi X.","Li, Jingting (57224646179); Tan, Chee Wei (15072338600); Hang, Ching Nam (57205457095); Qi, Xintong (57748962200)","57224646179; 15072338600; 57205457095; 57748962200","A Chatbot-Server Framework for Scalable Machine Learning Education through Crowdsourced Data","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","271","274","3","1","10.1145/3491140.3528300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132152692&doi=10.1145%2f3491140.3528300&partnerID=40&md5=a298041dbf2c4529932884ad246b8c99","Conference paper","Final","","Scopus","2-s2.0-85132152692"
"Lau S.; Eldridge J.; Ellis S.; Fraenkel A.; Langlois M.; Rampure S.; Tiefenbruck J.; Guo P.J.","Lau, Sam (57209780432); Eldridge, Justin (56865540500); Ellis, Shannon (55963526300); Fraenkel, Aaron (57747343800); Langlois, Marina (23393290300); Rampure, Suraj (57222587275); Tiefenbruck, Janine (56940768300); Guo, Philip J. (16238467300)","57209780432; 56865540500; 55963526300; 57747343800; 23393290300; 57222587275; 56940768300; 16238467300","The Challenges of Evolving Technical Courses at Scale: Four Case Studies of Updating Large Data Science Courses","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","201","211","10","1","10.1145/3491140.3528278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132189358&doi=10.1145%2f3491140.3528278&partnerID=40&md5=fb41e5fc3891a0d785228535638d8d0a","Conference paper","Final","","Scopus","2-s2.0-85132189358"
"Hillaire G.; Waldron R.; Littenberg-Tobias J.; Thompson M.; O'Brien S.; Marvez G.R.; Reich J.","Hillaire, Garron (57053548200); Waldron, Rick (57746695800); Littenberg-Tobias, Joshua (57056479100); Thompson, Meredith (57205744232); O'Brien, Sara (57748618800); Marvez, G.R. (57222491843); Reich, Justin (56144824600)","57053548200; 57746695800; 57056479100; 57205744232; 57748618800; 57222491843; 56144824600","Digital Clinical Simulation Suite: Specifications and Architecture for Simulation-Based Pedagogy at Scale","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","212","221","9","0","10.1145/3491140.3528276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132168119&doi=10.1145%2f3491140.3528276&partnerID=40&md5=5616fc5445b78e1b55e2b8794bbaae68","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85132168119"
"Elhayany M.; Nair R.-R.; Staubitz T.; Meinel C.","Elhayany, Mohamed (57747327800); Nair, Ranjiraj-Rajendran (57746999400); Staubitz, Thomas (56237871000); Meinel, Christoph (56187776800)","57747327800; 57746999400; 56237871000; 56187776800","A Study about Future Prospects of JupyterHub in MOOCs","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","275","279","4","1","10.1145/3491140.3529537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132183375&doi=10.1145%2f3491140.3529537&partnerID=40&md5=a6adbc7bb0ab8c7174331575316df979","Conference paper","Final","","Scopus","2-s2.0-85132183375"
"Steinbeck H.; Zobel T.; Meinel C.","Steinbeck, Hendrik (57215899166); Zobel, Theresa (57351645600); Meinel, Christoph (56187776800)","57215899166; 57351645600; 56187776800","Using the YouTube Video Style in a MOOC: (Re-)Testing the Effect of Visual Experience in a Field-Experiment","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","142","150","8","1","10.1145/3491140.3528268","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132159372&doi=10.1145%2f3491140.3528268&partnerID=40&md5=6dbf507d3173f688b2d3034ebb079da4","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132159372"
"Tsung S.; Wei H.; Li H.; Wang Y.; Xia M.; Qu H.","Tsung, Sean (57748642500); Wei, Huan (57209399328); Li, Haotian (57205670372); Wang, Yong (57193775768); Xia, Meng (57202803261); Qu, Huamin (7101947159)","57748642500; 57209399328; 57205670372; 57193775768; 57202803261; 7101947159","BlockLens: Visual Analytics of Student Coding Behaviors in Block-Based Programming Environments","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","299","303","4","3","10.1145/3491140.3528298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132148921&doi=10.1145%2f3491140.3528298&partnerID=40&md5=c947441fd393ad7d5fe464214fa5bb20","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85132148921"
"Nishida N.; Nozaki H.; Shizuki B.","Nishida, Naoto (57748642800); Nozaki, Hinako (57258649800); Shizuki, Buntarou (6507626386)","57748642800; 57258649800; 6507626386","Laugh at Your Own Pace: Basic Performance Evaluation of Language Learning Assistance by Adjustment of Video Playback Speeds Based on Laughter Detection","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","368","373","5","3","10.1145/3491140.3528299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132144564&doi=10.1145%2f3491140.3528299&partnerID=40&md5=066d17a21965eec1188850c72401cfb3","Conference paper","Final","","Scopus","2-s2.0-85132144564"
"Felker Z.; Chen Z.","Felker, Zachary (57240353500); Chen, Zhongzhou (7409482654)","57240353500; 7409482654","Using a Planning Prompt Survey to Encourage Early Completion of Homework Assignments","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","446","450","4","1","10.1145/3491140.3528297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132177261&doi=10.1145%2f3491140.3528297&partnerID=40&md5=d09e1f8e6c53012e029a503671af20ff","Conference paper","Final","","Scopus","2-s2.0-85132177261"
"Gardner J.; Brooks C.","Gardner, Josh (57193776363); Brooks, Christopher (14047887300)","57193776363; 14047887300","A statistical framework for predictive model evaluation in MOOCs","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","269","272","3","5","10.1145/3051457.3054002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018445084&doi=10.1145%2f3051457.3054002&partnerID=40&md5=5affb8b1ced83a8c0dc055aae89fd66f","Conference paper","Final","","Scopus","2-s2.0-85018445084"
"Yin B.; Patikorn T.; Botelho A.F.; Heffernan N.T.","Yin, Biao (57194044631); Patikorn, Thanaporn (57189378994); Botelho, Anthony F. (56597707600); Heffernan, Neil T. (14041775100)","57194044631; 57189378994; 56597707600; 14041775100","Observing personalizations in learning: Identifying heterogeneous treatment effects using causal trees","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","299","302","3","2","10.1145/3051457.3054009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018442094&doi=10.1145%2f3051457.3054009&partnerID=40&md5=dd0adb8d38f0c44cfb9ad37dd00c4a99","Conference paper","Final","","Scopus","2-s2.0-85018442094"
"Bunin S.; Celestin W.; Hornback A.; Rugaber S.","Bunin, Scott (57748933200); Celestin, Willventchy (57746670700); Hornback, Andrew (57748933300); Rugaber, Spencer (6603866056)","57748933200; 57746670700; 57748933300; 6603866056","Incorporating Habitats in Conceptual Models and Agent-Based Simulations: Expanding the Virtual Ecological Research Assistant (VERA)","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","472","474","2","2","10.1145/3491140.3528261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132145535&doi=10.1145%2f3491140.3528261&partnerID=40&md5=d25ef07c5ba87140041a48db60c76d1c","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132145535"
"Jordan K.; Myers C.","Jordan, Katy (55314576400); Myers, Christina (57208408234)","55314576400; 57208408234","EdTech and Girls Education in Low- and Middle-Income Countries: Which Intervention Types Have the Greatest Impact on Learning Outcomes for Girls?","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","330","334","4","1","10.1145/3491140.3528305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132181479&doi=10.1145%2f3491140.3528305&partnerID=40&md5=1c6623152df9a724446e409b586874de","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85132181479"
"Cho J.Y.; Li Y.; Krasny M.E.; Kizilcec R.F.","Cho, Ji Yong (57202043077); Li, Yue (56448682500); Krasny, Marianne E. (7004362439); Kizilcec, René F. (55657281000)","57202043077; 56448682500; 7004362439; 55657281000","Measuring Cultural Dimensions of Learning in Online Courses","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","395","399","4","0","10.1145/3491140.3528333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132187613&doi=10.1145%2f3491140.3528333&partnerID=40&md5=82b8b0f98ec79c3c8f343c234a28b7c5","Conference paper","Final","","Scopus","2-s2.0-85132187613"
"Pirttinen N.; Leinonen J.; Auvinen A.; Lappalainen V.; Tynkkynen K.; Hedberg H.; Laakso M.-J.; Lemström K.","Pirttinen, Nea (57200299897); Leinonen, Juho (57156123300); Auvinen, Annemari (15623054000); Lappalainen, Vesa (6603032946); Tynkkynen, Katja (6507901112); Hedberg, Henrik (22979798200); Laakso, Mikko-Jussi (19639011200); Lemström, Kjell (7006564183)","57200299897; 57156123300; 15623054000; 6603032946; 6507901112; 22979798200; 19639011200; 7006564183","Digital Education For All: Multi-University Study of Increasing Competent Student Admissions at Scale","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","72","81","9","0","10.1145/3491140.3528266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132180912&doi=10.1145%2f3491140.3528266&partnerID=40&md5=869f6cb48761f4a42d377116a9896b85","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85132180912"
"Leinonen J.; Ihantola P.; Hellas A.","Leinonen, Juho (57156123300); Ihantola, Petri (14019704700); Hellas, Arto (57192188480)","57156123300; 14019704700; 57192188480","Preventing keystroke based identification in open data sets","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","101","109","8","5","10.1145/3051457.3051458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018432742&doi=10.1145%2f3051457.3051458&partnerID=40&md5=e91cb7cb56d8531abcc97dbc99f05867","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85018432742"
"Staubitz T.; Bothe M.; Elhayany M.; Hagedorn C.; Serth S.; Zobel T.; Meinel C.","Staubitz, Thomas (56237871000); Bothe, Max (57190375436); Elhayany, Mohamed (57747327800); Hagedorn, Christiane (57194851520); Serth, Sebastian (57195955075); Zobel, Theresa (57351645600); Meinel, Christoph (56187776800)","56237871000; 57190375436; 57747327800; 57194851520; 57195955075; 57351645600; 56187776800","Analysis of the Applicability of General Scaling Laws on Course Size, Completion Rates, and Forum Activity in MOOCs","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","294","298","4","0","10.1145/3491140.3528310","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132196146&doi=10.1145%2f3491140.3528310&partnerID=40&md5=0b8fc14f00ec40bb33e94a918c6d8d3e","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132196146"
"Singh A.; Karayev S.; Gutowski K.; Abbeel P.","Singh, Arjun (56733528800); Karayev, Sergey (50561748500); Gutowski, Kevin (57194034007); Abbeel, Pieter (8269962600)","56733528800; 50561748500; 57194034007; 8269962600","Gradescope: A fast, flexible, and fair system for scalable assessment of handwritten work","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","81","88","7","51","10.1145/3051457.3051466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018456836&doi=10.1145%2f3051457.3051466&partnerID=40&md5=150b98cd89ca99c249e6ea894bf8bbed","Conference paper","Final","","Scopus","2-s2.0-85018456836"
"Joyner D.A.","Joyner, David A. (35183234600)","35183234600","Scaling expert feedback: Two case studies","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","71","80","9","22","10.1145/3051457.3051459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018449062&doi=10.1145%2f3051457.3051459&partnerID=40&md5=899abdf8ab36e2c4fa56ca0f1dcdc2f2","Conference paper","Final","","Scopus","2-s2.0-85018449062"
"Eicher B.L.; Joyner D.A.","Eicher, Bobbie L. (57202432695); Joyner, David A. (35183234600)","57202432695; 35183234600","An Examination of Unofficial Course Reviews in a Graduate Program at Scale","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","289","293","4","0","10.1145/3491140.3528330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132158864&doi=10.1145%2f3491140.3528330&partnerID=40&md5=09891f241aae41db42bedcdb61c83b00","Conference paper","Final","","Scopus","2-s2.0-85132158864"
"Rhim J.; Gweon G.","Rhim, Jungwook (57201722565); Gweon, Gahgene (13005227000)","57201722565; 13005227000","Understanding the Relationship Between Students' Learning Outcome and Behavioral Patterns using Touch Trajectories","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","441","445","4","1","10.1145/3491140.3528311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132190682&doi=10.1145%2f3491140.3528311&partnerID=40&md5=cb192defea7746264d026350b6785c48","Conference paper","Final","","Scopus","2-s2.0-85132190682"
"Marvez G.R.; Zheng T.; Littenberg-Tobias J.; Hillaire G.; O'Brien S.; Reich J.","Marvez, G.R. (57222491843); Zheng, Tianyuan (57747325000); Littenberg-Tobias, Joshua (57056479100); Hillaire, Garron (57053548200); O'Brien, Sara (57748618800); Reich, Justin (56144824600)","57222491843; 57747325000; 57056479100; 57053548200; 57748618800; 56144824600","Integrating Dynamic Supports into an Equity Teaching Simulation to Promote Equity Mindsets","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","364","367","3","0","10.1145/3491140.3528327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132165557&doi=10.1145%2f3491140.3528327&partnerID=40&md5=46f0f3dfedc92a65c1bf612a4fe6d96e","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85132165557"
"Chen Y.; Fu A.; Lee J.J.-L.; Tomasik I.W.; Kizilcec R.F.","Chen, Youjie (57203386946); Fu, Annie (57746676400); Lee, Jennifer Jia-Ling (57746676500); Tomasik, Ian Wilkie (57747325200); Kizilcec, René F. (55657281000)","57203386946; 57746676400; 57746676500; 57747325200; 55657281000","Pathways: Exploring Academic Interests with Historical Course Enrollment Records","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","222","233","11","2","10.1145/3491140.3528270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132134262&doi=10.1145%2f3491140.3528270&partnerID=40&md5=68abe4548c29ec018896d221dddc7747","Conference paper","Final","","Scopus","2-s2.0-85132134262"
"Eicher B.L.; Joyner D.A.","Eicher, Bobbie L. (57202432695); Joyner, David A. (35183234600)","57202432695; 35183234600","Student Use of Course Reviews at Scale","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","422","426","4","1","10.1145/3491140.3528332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132156293&doi=10.1145%2f3491140.3528332&partnerID=40&md5=c5be8f7aaeb2b65c1e2e5bc28655cfba","Conference paper","Final","","Scopus","2-s2.0-85132156293"
"Darvishi A.; Khosravi H.; Abdi S.; Sadiq S.; Gašević D.","Darvishi, Ali (57219052527); Khosravi, Hassan (27368031300); Abdi, Solmaz (57215930238); Sadiq, Shazia (7006420326); Gašević, Dragan (8549413500)","57219052527; 27368031300; 57215930238; 7006420326; 8549413500","Incorporating Training, Self-monitoring and AI-Assistance to Improve Peer Feedback Quality","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","35","47","12","7","10.1145/3491140.3528265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130624218&doi=10.1145%2f3491140.3528265&partnerID=40&md5=973261011555394fb9182ed693c8cd6b","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85130624218"
"Sharrock R.; Collin E.; Labat T.; Hamonic E.; Bonfert-Taylor P.; Goudzwaard M.","Sharrock, Rémi (35184076100); Collin, Ewen (57746701500); Labat, Thibaud (57748316300); Hamonic, Ella (57193406317); Bonfert-Taylor, Petra (6603479539); Goudzwaard, Michael (57148138000)","35184076100; 57746701500; 57748316300; 57193406317; 6603479539; 57148138000","Teaching and Learning Programming with Linux using In-Browser Client-Side Web Technologies: Exploring the Key Features for Achieving Systems and Tools Scalability","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","427","430","3","0","10.1145/3491140.3528295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132180236&doi=10.1145%2f3491140.3528295&partnerID=40&md5=340593c6c41e9ad975552e41e4a32a99","Conference paper","Final","","Scopus","2-s2.0-85132180236"
"Meaney M.; Fikes T.","Meaney, Michael (57748962700); Fikes, Tom (57193578627)","57748962700; 57193578627","Adding a Demographic Lens to Cluster Analysis of Participants in Entry-level Massive Open Online Courses (MOOCs)","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","355","359","4","1","10.1145/3491140.3528306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132160939&doi=10.1145%2f3491140.3528306&partnerID=40&md5=330e026795072751d6f2d6f1c549fa00","Conference paper","Final","","Scopus","2-s2.0-85132160939"
"Stanyon R.; Tomlinson A.A.; Kainth M.; Wilkin N.K.","Stanyon, Robert (57747638300); Tomlinson, Austin A. (57219405608); Kainth, Manjinder (57211588358); Wilkin, Nicola K. (6701798072)","57747638300; 57219405608; 57211588358; 6701798072","Providing Individual Student Feedback at Scale for Mathematical Disciplines","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","400","404","4","1","10.1145/3491140.3528313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132173153&doi=10.1145%2f3491140.3528313&partnerID=40&md5=a2654cfc674ba83f99f3f7ee74d8442a","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85132173153"
"Moore S.; Stamper J.; Brooks C.; Denny P.; Khosravi H.","Moore, Steven (57145946000); Stamper, John (15758786800); Brooks, Christopher (14047887300); Denny, Paul (9269552700); Khosravi, Hassan (27368031300)","57145946000; 15758786800; 14047887300; 9269552700; 27368031300","Learnersourcing: Student-generated Content@Scale","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","259","262","3","5","10.1145/3491140.3528286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132161627&doi=10.1145%2f3491140.3528286&partnerID=40&md5=2cf77c48f6687e77fb05582db29e9210","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132161627"
"Reich J.; Thille C.; Urrea C.","Reich, Justin (56144824600); Thille, Candace (42062446600); Urrea, Claudia (55577203900)","56144824600; 42062446600; 55577203900","Learning at scale 2017 preface","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","iii","vi","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018434372&partnerID=40&md5=8ff85bd7cc86a2bb74ea1d2ed687ee63","Editorial","Final","","Scopus","2-s2.0-85018434372"
"Xia H.; Ng H.X.; Chen Z.; Hollan J.","Xia, Haijun (56427427600); Ng, Hui Xin (57748637800); Chen, Zhutian (57189640527); Hollan, James (6602750503)","56427427600; 57748637800; 57189640527; 6602750503","Millions and Billions of Views: Understanding Popular Science and Knowledge Communication on Video-Sharing Platforms","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","163","174","11","3","10.1145/3491140.3528279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132155186&doi=10.1145%2f3491140.3528279&partnerID=40&md5=c14c618d1fc7cced01d101b7cb2c56a2","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132155186"
"Soleimani F.; Lee J.; Yilmaz Soylu M.; Chatterjee S.","Soleimani, Farahnaz (57209041720); Lee, Jeonghyun (57219710532); Yilmaz Soylu, Meryem (57374501100); Chatterjee, Saurabh (57478488200)","57209041720; 57219710532; 57374501100; 57478488200","Influential Text-Based Features in Predicting Admission Status of Online Degree Applicants","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","360","363","3","0","10.1145/3491140.3528318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132154652&doi=10.1145%2f3491140.3528318&partnerID=40&md5=0362fbe4fd4c2e94274307ace1cad532","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132154652"
"Shabaninejad S.; Khosravi H.; Abdi S.; Indulska M.; Sadiq S.","Shabaninejad, Shiva (57215928305); Khosravi, Hassan (27368031300); Abdi, Solmaz (57215930238); Indulska, Marta (8366424900); Sadiq, Shazia (7006420326)","57215928305; 27368031300; 57215930238; 8366424900; 7006420326","Incorporating Explainable Learning Analytics to Assist Educators with Identifying Students in Need of Attention","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","384","388","4","1","10.1145/3491140.3528292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132140667&doi=10.1145%2f3491140.3528292&partnerID=40&md5=45e734f226632d3e40722379b0c8efe1","Conference paper","Final","","Scopus","2-s2.0-85132140667"
"Houstonii S.L.; Brady K.; Narasimham G.; Fisher D.","Houstonii, Stacey L. (56763614900); Brady, Katherine (56597582100); Narasimham, Gayathri (16643145000); Fisher, Douglas (7403343284)","56763614900; 56597582100; 16643145000; 7403343284","Pass the idea please: The relationship between network position, direct engagement, and course performance in MOOCs","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","295","298","3","16","10.1145/3051457.3054008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018423256&doi=10.1145%2f3051457.3054008&partnerID=40&md5=332e39ac24045cb6e0c4a59449da107a","Conference paper","Final","","Scopus","2-s2.0-85018423256"
"Kizilcec R.F.; Mimno J.A.; Karhan A.J.","Kizilcec, René F. (55657281000); Mimno, Jennifer A. (57746701700); Karhan, Andrew J. (57221912395)","55657281000; 57746701700; 57221912395","Effects of Framing Professional Development as a Career Growth Opportunity on Course Completion","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","335","339","4","0","10.1145/3491140.3528304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132145399&doi=10.1145%2f3491140.3528304&partnerID=40&md5=6e56ab9f247dcc23f3f55470f341eb59","Conference paper","Final","","Scopus","2-s2.0-85132145399"
"Chen X.; Feng S.","Chen, Xiuyu (57747638500); Feng, Shihui (57190013027)","57747638500; 57190013027","Exploring the Relationships between Social and Teaching Presence in Video-based Informal Learning Using Network Analysis","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","340","344","4","2","10.1145/3491140.3528316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132178778&doi=10.1145%2f3491140.3528316&partnerID=40&md5=413bdf342f496f70a0be79e647590112","Conference paper","Final","","Scopus","2-s2.0-85132178778"
"Johnson B.G.; Dittel J.S.; Van Campenhout R.; Jerome B.","Johnson, Benny G. (34770699900); Dittel, Jeffrey S. (57194430378); Van Campenhout, Rachel (57218310697); Jerome, Bill (57218312336)","34770699900; 57194430378; 57218310697; 57218312336","Discrimination of Automatically Generated Questions Used as Formative Practice","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","325","329","4","5","10.1145/3491140.3528323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132209642&doi=10.1145%2f3491140.3528323&partnerID=40&md5=30990903665ad3f1ee175158c234cb6c","Conference paper","Final","","Scopus","2-s2.0-85132209642"
